formula_index,location,document_paragraph,context,source_object,source_formula_decoded_now,converted_formula_in_existing_docx,diagnostic_normalized_source,diagnostic_normalized_converted,mismatch_reason,current_decoder_valid,current_decoder_error
11,"{'block_index': 5, 'paragraph_index': 6, 'table_index': None, 'row': None, 'col': None, 'run_index': 23, 'in_table_cell': False}",9,為了方便討論，設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，令△ABC中[MathType OLE]上的高為[MathType OLE]，可分三種情形討論如下：,word/embeddings/oleObject11.bin,$  {\overline{ CD }}  $,[MATH_PARSE_FAILED_11],{\overline{ CD }},[MATH_PARSE_FAILED_11],conversion_failure_placeholder; historical per-object error unavailable,True,
12,"{'block_index': 6, 'paragraph_index': 7, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",10,(1)[MathType OLE]為銳角時　　　　　(2)[MathType OLE]為直角時　　　　　(3)[MathType OLE]為鈍角時,word/embeddings/oleObject12.bin,$ \angle A $,[MATH_PARSE_FAILED_12],\angle A,[MATH_PARSE_FAILED_12],conversion_failure_placeholder; historical per-object error unavailable,True,
13,"{'block_index': 6, 'paragraph_index': 7, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",10,(1)[MathType OLE]為銳角時　　　　　(2)[MathType OLE]為直角時　　　　　(3)[MathType OLE]為鈍角時,word/embeddings/oleObject13.bin,$ \angle A $,[MATH_PARSE_FAILED_13],\angle A,[MATH_PARSE_FAILED_13],conversion_failure_placeholder; historical per-object error unavailable,True,
14,"{'block_index': 6, 'paragraph_index': 7, 'table_index': None, 'row': None, 'col': None, 'run_index': 11, 'in_table_cell': False}",10,(1)[MathType OLE]為銳角時　　　　　(2)[MathType OLE]為直角時　　　　　(3)[MathType OLE]為鈍角時,word/embeddings/oleObject14.bin,$ \angle A $,[MATH_PARSE_FAILED_14],\angle A,[MATH_PARSE_FAILED_14],conversion_failure_placeholder; historical per-object error unavailable,True,
15,"{'block_index': 9, 'paragraph_index': 10, 'table_index': None, 'row': None, 'col': None, 'run_index': 15, 'in_table_cell': False}",13,關鍵是要先求得三角形的高關鍵是要先求得三角形的高整理(1)、(2)、(3)知任意三角形之高均為[MathType OLE],word/embeddings/oleObject15.bin,$  {\overline{ CD }} =bsinA $,[MATH_PARSE_FAILED_15],{\overline{ CD }} =bsinA,[MATH_PARSE_FAILED_15],conversion_failure_placeholder; historical per-object error unavailable,True,
16,"{'block_index': 10, 'paragraph_index': 11, 'table_index': None, 'row': None, 'col': None, 'run_index': 2, 'in_table_cell': False}",16,所以[MathType OLE]……①,word/embeddings/oleObject16.bin,$ \Delta =\frac { 1 } { 2 }(底\times 高)=\frac { 1 } { 2 }\times  {\overline{ AB }} \times  {\overline{ CD }} =\frac { 1 } { 2 }\times c\times bsinA=\frac { 1 } { 2 }bcsinA $,[MATH_PARSE_FAILED_16],\Delta =\frac { 1 } { 2 }(底\times 高)=\frac { 1 } { 2 }\times {\overline{ AB }} \times {\overline{ CD }} =\frac { 1 } { 2 }\times c\times bsinA=\frac { 1 } { 2 }bcsinA,[MATH_PARSE_FAILED_16],conversion_failure_placeholder; historical per-object error unavailable,True,
17,"{'block_index': 11, 'paragraph_index': 12, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",17,同理可得[MathType OLE]……②,word/embeddings/oleObject17.bin,$ \Delta =\frac { 1 } { 2 }absinC=\frac { 1 } { 2 }acsinB $,[MATH_PARSE_FAILED_17],\Delta =\frac { 1 } { 2 }absinC=\frac { 1 } { 2 }acsinB,[MATH_PARSE_FAILED_17],conversion_failure_placeholder; historical per-object error unavailable,True,
18,"{'block_index': 13, 'paragraph_index': 15, 'table_index': 1, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",20,設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則[MathType OLE],word/embeddings/oleObject18.bin,$ \Delta  $,[MATH_PARSE_FAILED_18],\Delta,[MATH_PARSE_FAILED_18],conversion_failure_placeholder; historical per-object error unavailable,True,
19,"{'block_index': 13, 'paragraph_index': 15, 'table_index': 1, 'row': 1, 'col': 0, 'run_index': 12, 'in_table_cell': True}",20,設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則[MathType OLE],word/embeddings/oleObject19.bin,$ \angle A $,[MATH_PARSE_FAILED_19],\angle A,[MATH_PARSE_FAILED_19],conversion_failure_placeholder; historical per-object error unavailable,True,
20,"{'block_index': 13, 'paragraph_index': 15, 'table_index': 1, 'row': 1, 'col': 0, 'run_index': 14, 'in_table_cell': True}",20,設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則[MathType OLE],word/embeddings/oleObject20.bin,$ \angle B $,[MATH_PARSE_FAILED_20],\angle B,[MATH_PARSE_FAILED_20],conversion_failure_placeholder; historical per-object error unavailable,True,
21,"{'block_index': 13, 'paragraph_index': 15, 'table_index': 1, 'row': 1, 'col': 0, 'run_index': 16, 'in_table_cell': True}",20,設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則[MathType OLE],word/embeddings/oleObject21.bin,$ \angle C $,[MATH_PARSE_FAILED_21],\angle C,[MATH_PARSE_FAILED_21],conversion_failure_placeholder; historical per-object error unavailable,True,
22,"{'block_index': 13, 'paragraph_index': 15, 'table_index': 1, 'row': 1, 'col': 0, 'run_index': 19, 'in_table_cell': True}",20,設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則[MathType OLE],word/embeddings/oleObject22.bin,$ \Delta =\frac { 1 } { 2 }absinC=\frac { 1 } { 2 }bcsinA=\frac { 1 } { 2 }acsinB $,[MATH_PARSE_FAILED_22],\Delta =\frac { 1 } { 2 }absinC=\frac { 1 } { 2 }bcsinA=\frac { 1 } { 2 }acsinB,[MATH_PARSE_FAILED_22],conversion_failure_placeholder; historical per-object error unavailable,True,
23,"{'block_index': 16, 'paragraph_index': 22, 'table_index': 2, 'row': 0, 'col': 0, 'run_index': 4, 'in_table_cell': True}",29,在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject23.bin,$  {\overline{ AB }} =4 $,[MATH_PARSE_FAILED_23],{\overline{ AB }} =4,[MATH_PARSE_FAILED_23],conversion_failure_placeholder; historical per-object error unavailable,True,
24,"{'block_index': 16, 'paragraph_index': 22, 'table_index': 2, 'row': 0, 'col': 0, 'run_index': 6, 'in_table_cell': True}",29,在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject24.bin,$  {\overline{ AC }} =\sqrt[] { 3 } $,[MATH_PARSE_FAILED_24],{\overline{ AC }} =\sqrt[] { 3 },[MATH_PARSE_FAILED_24],conversion_failure_placeholder; historical per-object error unavailable,True,
25,"{'block_index': 16, 'paragraph_index': 22, 'table_index': 2, 'row': 0, 'col': 0, 'run_index': 8, 'in_table_cell': True}",29,在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject25.bin,$ \angle A=120{}^\circ  $,[MATH_PARSE_FAILED_25],\angle A=120{}^\circ,[MATH_PARSE_FAILED_25],conversion_failure_placeholder; historical per-object error unavailable,True,
26,"{'block_index': 16, 'paragraph_index': 23, 'table_index': 2, 'row': 1, 'col': 0, 'run_index': 12, 'in_table_cell': True}",30,畫出圖形，兩邊邊長及其夾角畫出圖形，兩邊邊長及其夾角令[MathType OLE]，[MathType OLE]利用面積公式，得△ABC面積[MathType OLE][MathType OLE][MathType OLE]（平方單位）,word/embeddings/oleObject26.bin,$  {\overline{ AB }} =c=4 $,[MATH_PARSE_FAILED_26],{\overline{ AB }} =c=4,[MATH_PARSE_FAILED_26],conversion_failure_placeholder; historical per-object error unavailable,True,
27,"{'block_index': 16, 'paragraph_index': 23, 'table_index': 2, 'row': 1, 'col': 0, 'run_index': 14, 'in_table_cell': True}",30,畫出圖形，兩邊邊長及其夾角畫出圖形，兩邊邊長及其夾角令[MathType OLE]，[MathType OLE]利用面積公式，得△ABC面積[MathType OLE][MathType OLE][MathType OLE]（平方單位）,word/embeddings/oleObject27.bin,$  {\overline{ AC }} =b=\sqrt[] { 3 } $,[MATH_PARSE_FAILED_27],{\overline{ AC }} =b=\sqrt[] { 3 },[MATH_PARSE_FAILED_27],conversion_failure_placeholder; historical per-object error unavailable,True,
28,"{'block_index': 16, 'paragraph_index': 23, 'table_index': 2, 'row': 1, 'col': 0, 'run_index': 21, 'in_table_cell': True}",30,畫出圖形，兩邊邊長及其夾角畫出圖形，兩邊邊長及其夾角令[MathType OLE]，[MathType OLE]利用面積公式，得△ABC面積[MathType OLE][MathType OLE][MathType OLE]（平方單位）,word/embeddings/oleObject28.bin,$ =\frac { 1 } { 2 }bcsinA $,[MATH_PARSE_FAILED_28],=\frac { 1 } { 2 }bcsinA,[MATH_PARSE_FAILED_28],conversion_failure_placeholder; historical per-object error unavailable,True,
29,"{'block_index': 16, 'paragraph_index': 23, 'table_index': 2, 'row': 1, 'col': 0, 'run_index': 24, 'in_table_cell': True}",30,畫出圖形，兩邊邊長及其夾角畫出圖形，兩邊邊長及其夾角令[MathType OLE]，[MathType OLE]利用面積公式，得△ABC面積[MathType OLE][MathType OLE][MathType OLE]（平方單位）,word/embeddings/oleObject29.bin,$ =\frac { 1 } { 2 }\times \sqrt[] { 3 }\times 4\times sin120{}^\circ  $,[MATH_PARSE_FAILED_29],=\frac { 1 } { 2 }\times \sqrt[] { 3 }\times 4\times sin120{}^\circ,[MATH_PARSE_FAILED_29],conversion_failure_placeholder; historical per-object error unavailable,True,
30,"{'block_index': 16, 'paragraph_index': 23, 'table_index': 2, 'row': 1, 'col': 0, 'run_index': 27, 'in_table_cell': True}",30,畫出圖形，兩邊邊長及其夾角畫出圖形，兩邊邊長及其夾角令[MathType OLE]，[MathType OLE]利用面積公式，得△ABC面積[MathType OLE][MathType OLE][MathType OLE]（平方單位）,word/embeddings/oleObject30.bin,$ =\frac { 1 } { 2 }\times \sqrt[] { 3 }\times 4\times \frac { \sqrt[] { 3 } } { 2 }=3 $,[MATH_PARSE_FAILED_30],=\frac { 1 } { 2 }\times \sqrt[] { 3 }\times 4\times \frac { \sqrt[] { 3 } } { 2 }=3,[MATH_PARSE_FAILED_30],conversion_failure_placeholder; historical per-object error unavailable,True,
31,"{'block_index': 18, 'paragraph_index': 26, 'table_index': 3, 'row': 0, 'col': 0, 'run_index': 6, 'in_table_cell': True}",35,1.在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject31.bin,$ a=2\sqrt[] { 3 } $,[MATH_PARSE_FAILED_31],a=2\sqrt[] { 3 },[MATH_PARSE_FAILED_31],conversion_failure_placeholder; historical per-object error unavailable,True,
32,"{'block_index': 18, 'paragraph_index': 26, 'table_index': 3, 'row': 0, 'col': 0, 'run_index': 8, 'in_table_cell': True}",35,1.在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject32.bin,$ b=6 $,[MATH_PARSE_FAILED_32],b=6,[MATH_PARSE_FAILED_32],conversion_failure_placeholder; historical per-object error unavailable,True,
33,"{'block_index': 18, 'paragraph_index': 26, 'table_index': 3, 'row': 0, 'col': 0, 'run_index': 10, 'in_table_cell': True}",35,1.在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求△ABC的面積。,word/embeddings/oleObject33.bin,$ \angle C=30{}^\circ  $,[MATH_PARSE_FAILED_33],\angle C=30{}^\circ,[MATH_PARSE_FAILED_33],conversion_failure_placeholder; historical per-object error unavailable,True,
34,"{'block_index': 20, 'paragraph_index': 34, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",43,由三角形面積公式知[MathType OLE]。,word/embeddings/oleObject34.bin,$ \frac { 1 } { 2 }absinC=\frac { 1 } { 2 }bcsinA=\frac { 1 } { 2 }acsinB $,[MATH_PARSE_FAILED_34],\frac { 1 } { 2 }absinC=\frac { 1 } { 2 }bcsinA=\frac { 1 } { 2 }acsinB,[MATH_PARSE_FAILED_34],conversion_failure_placeholder; historical per-object error unavailable,True,
35,"{'block_index': 21, 'paragraph_index': 35, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",44,將上式同除以[MathType OLE]得[MathType OLE]，即[MathType OLE]。,word/embeddings/oleObject35.bin,$ \frac { 1 } { 2 }abc $,[MATH_PARSE_FAILED_35],\frac { 1 } { 2 }abc,[MATH_PARSE_FAILED_35],conversion_failure_placeholder; historical per-object error unavailable,True,
36,"{'block_index': 21, 'paragraph_index': 35, 'table_index': None, 'row': None, 'col': None, 'run_index': 3, 'in_table_cell': False}",44,將上式同除以[MathType OLE]得[MathType OLE]，即[MathType OLE]。,word/embeddings/oleObject36.bin,$ \frac { sinA } { a }=\frac { sinB } { b }=\frac { sinC } { c } $,[MATH_PARSE_FAILED_36],\frac { sinA } { a }=\frac { sinB } { b }=\frac { sinC } { c },[MATH_PARSE_FAILED_36],conversion_failure_placeholder; historical per-object error unavailable,True,
37,"{'block_index': 21, 'paragraph_index': 35, 'table_index': None, 'row': None, 'col': None, 'run_index': 5, 'in_table_cell': False}",44,將上式同除以[MathType OLE]得[MathType OLE]，即[MathType OLE]。,word/embeddings/oleObject37.bin,$ \frac { a } { sinA }=\frac { b } { sinB }=\frac { c } { sinC } $,[MATH_PARSE_FAILED_37],\frac { a } { sinA }=\frac { b } { sinB }=\frac { c } { sinC },[MATH_PARSE_FAILED_37],conversion_failure_placeholder; historical per-object error unavailable,True,
38,"{'block_index': 23, 'paragraph_index': 37, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",46,在△ABC中[MathType OLE]可為銳角、直角或鈍角，在此我們討論[MathType OLE]為銳角的情形，至於直角及鈍角同理可證，如圖6所示。,word/embeddings/oleObject38.bin,$ \angle A $,[MATH_PARSE_FAILED_38],\angle A,[MATH_PARSE_FAILED_38],conversion_failure_placeholder; historical per-object error unavailable,True,
39,"{'block_index': 23, 'paragraph_index': 37, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",46,在△ABC中[MathType OLE]可為銳角、直角或鈍角，在此我們討論[MathType OLE]為銳角的情形，至於直角及鈍角同理可證，如圖6所示。,word/embeddings/oleObject39.bin,$ \angle A $,[MATH_PARSE_FAILED_39],\angle A,[MATH_PARSE_FAILED_39],conversion_failure_placeholder; historical per-object error unavailable,True,
40,"{'block_index': 24, 'paragraph_index': 38, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",47,①直徑所對的圓周角為直角②同弧所對的圓周角相等①直徑所對的圓周角為直角②同弧所對的圓周角相等設O為圓心，R為半徑，連接[MathType OLE]，並延長交圓於D，連接[MathType OLE]，,word/embeddings/oleObject40.bin,$  {\overline{ BO }}  $,[MATH_PARSE_FAILED_40],{\overline{ BO }},[MATH_PARSE_FAILED_40],conversion_failure_placeholder; historical per-object error unavailable,True,
41,"{'block_index': 24, 'paragraph_index': 38, 'table_index': None, 'row': None, 'col': None, 'run_index': 10, 'in_table_cell': False}",47,①直徑所對的圓周角為直角②同弧所對的圓周角相等①直徑所對的圓周角為直角②同弧所對的圓周角相等設O為圓心，R為半徑，連接[MathType OLE]，並延長交圓於D，連接[MathType OLE]，,word/embeddings/oleObject41.bin,$  {\overline{ DC }}  $,[MATH_PARSE_FAILED_41],{\overline{ DC }},[MATH_PARSE_FAILED_41],conversion_failure_placeholder; historical per-object error unavailable,True,
42,"{'block_index': 25, 'paragraph_index': 39, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",52,因為[MathType OLE]為直徑，所以[MathType OLE]，,word/embeddings/oleObject42.bin,$  {\overline{ BD }} =2R $,[MATH_PARSE_FAILED_42],{\overline{ BD }} =2R,[MATH_PARSE_FAILED_42],conversion_failure_placeholder; historical per-object error unavailable,True,
43,"{'block_index': 25, 'paragraph_index': 39, 'table_index': None, 'row': None, 'col': None, 'run_index': 3, 'in_table_cell': False}",52,因為[MathType OLE]為直徑，所以[MathType OLE]，,word/embeddings/oleObject43.bin,$ \angle BCD=90{}^\circ  $,[MATH_PARSE_FAILED_43],\angle BCD=90{}^\circ,[MATH_PARSE_FAILED_43],conversion_failure_placeholder; historical per-object error unavailable,True,
44,"{'block_index': 26, 'paragraph_index': 40, 'table_index': None, 'row': None, 'col': None, 'run_index': 5, 'in_table_cell': False}",53,在△BCD中，[MathType OLE]，則[MathType OLE],word/embeddings/oleObject44.bin,$ sinD=\frac {  {\overline{ BC }}  } {  {\overline{ BD }}  }=\frac { a } { 2R } $,[MATH_PARSE_FAILED_44],sinD=\frac { {\overline{ BC }} } { {\overline{ BD }} }=\frac { a } { 2R },[MATH_PARSE_FAILED_44],conversion_failure_placeholder; historical per-object error unavailable,True,
45,"{'block_index': 26, 'paragraph_index': 40, 'table_index': None, 'row': None, 'col': None, 'run_index': 7, 'in_table_cell': False}",53,在△BCD中，[MathType OLE]，則[MathType OLE],word/embeddings/oleObject45.bin,$ \frac { a } { sinD }=2R $,[MATH_PARSE_FAILED_45],\frac { a } { sinD }=2R,[MATH_PARSE_FAILED_45],conversion_failure_placeholder; historical per-object error unavailable,True,
46,"{'block_index': 27, 'paragraph_index': 41, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",54,又[MathType OLE]，即[MathType OLE],word/embeddings/oleObject46.bin,$ \angle A=\angle D $,[MATH_PARSE_FAILED_46],\angle A=\angle D,[MATH_PARSE_FAILED_46],conversion_failure_placeholder; historical per-object error unavailable,True,
47,"{'block_index': 27, 'paragraph_index': 41, 'table_index': None, 'row': None, 'col': None, 'run_index': 3, 'in_table_cell': False}",54,又[MathType OLE]，即[MathType OLE],word/embeddings/oleObject47.bin,$ \frac { a } { sinA }=2R $,[MATH_PARSE_FAILED_47],\frac { a } { sinA }=2R,[MATH_PARSE_FAILED_47],conversion_failure_placeholder; historical per-object error unavailable,True,
48,"{'block_index': 28, 'paragraph_index': 42, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",55,所以[MathType OLE],word/embeddings/oleObject48.bin,$ \frac { a } { sinA }=\frac { b } { sinB }=\frac { c } { sinC }=2R $,[MATH_PARSE_FAILED_48],\frac { a } { sinA }=\frac { b } { sinB }=\frac { c } { sinC }=2R,[MATH_PARSE_FAILED_48],conversion_failure_placeholder; historical per-object error unavailable,True,
49,"{'block_index': 30, 'paragraph_index': 44, 'table_index': None, 'row': None, 'col': None, 'run_index': 0, 'in_table_cell': False}",59,[MathType OLE]，[MathType OLE]，[MathType OLE]，所以[MathType OLE],word/embeddings/oleObject49.bin,$ a=2RsinA $,[MATH_PARSE_FAILED_49],a=2RsinA,[MATH_PARSE_FAILED_49],conversion_failure_placeholder; historical per-object error unavailable,True,
50,"{'block_index': 30, 'paragraph_index': 44, 'table_index': None, 'row': None, 'col': None, 'run_index': 2, 'in_table_cell': False}",59,[MathType OLE]，[MathType OLE]，[MathType OLE]，所以[MathType OLE],word/embeddings/oleObject50.bin,$ b=2RsinB $,[MATH_PARSE_FAILED_50],b=2RsinB,[MATH_PARSE_FAILED_50],conversion_failure_placeholder; historical per-object error unavailable,True,
51,"{'block_index': 30, 'paragraph_index': 44, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",59,[MathType OLE]，[MathType OLE]，[MathType OLE]，所以[MathType OLE],word/embeddings/oleObject51.bin,$ c=2RsinC $,[MATH_PARSE_FAILED_51],c=2RsinC,[MATH_PARSE_FAILED_51],conversion_failure_placeholder; historical per-object error unavailable,True,
52,"{'block_index': 30, 'paragraph_index': 44, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",59,[MathType OLE]，[MathType OLE]，[MathType OLE]，所以[MathType OLE],word/embeddings/oleObject52.bin,"$ a\,\ :\ \,b\,\ :\ \,c=sinA\,\ :\ \,sinB\,\ :\ \,sinC $",[MATH_PARSE_FAILED_52],"a\,\ :\ \,b\,\ :\ \,c=sinA\,\ :\ \,sinB\,\ :\ \,sinC",[MATH_PARSE_FAILED_52],conversion_failure_placeholder; historical per-object error unavailable,True,
53,"{'block_index': 33, 'paragraph_index': 48, 'table_index': 4, 'row': 1, 'col': 0, 'run_index': 12, 'in_table_cell': True}",63,在△ABC中，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，,word/embeddings/oleObject53.bin,$ \angle A $,[MATH_PARSE_FAILED_53],\angle A,[MATH_PARSE_FAILED_53],conversion_failure_placeholder; historical per-object error unavailable,True,
54,"{'block_index': 33, 'paragraph_index': 48, 'table_index': 4, 'row': 1, 'col': 0, 'run_index': 14, 'in_table_cell': True}",63,在△ABC中，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，,word/embeddings/oleObject54.bin,$ \angle B $,[MATH_PARSE_FAILED_54],\angle B,[MATH_PARSE_FAILED_54],conversion_failure_placeholder; historical per-object error unavailable,True,
55,"{'block_index': 33, 'paragraph_index': 48, 'table_index': 4, 'row': 1, 'col': 0, 'run_index': 16, 'in_table_cell': True}",63,在△ABC中，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，,word/embeddings/oleObject55.bin,$ \angle C $,[MATH_PARSE_FAILED_55],\angle C,[MATH_PARSE_FAILED_55],conversion_failure_placeholder; historical per-object error unavailable,True,
