skill_id,skill_en_name,skill_ch_name,description,input_type,gemini_prompt,consecutive_correct_required,is_active,order_index
always_positive_cond,Always Positive Condition,二次函數恆正條件,熟練判斷 f(x)>0 恆成立的條件：a>0 且 b2?4ac<0。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒恆正需滿足「開口向上」 (a>0) 和「圖形不與 x 軸相交」 (D<0) 兩個條件。,3,TRUE,190
always_negative_cond,Always Negative Condition,二次函數恆負條件,熟練判斷 f(x)<0 恆成立的條件：a<0 且 b2?4ac<0。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒恆負需滿足「開口向下」 (a<0) 和「圖形不與 x 軸相交」 (D<0) 兩個條件。,3,TRUE,200
slope_definition,Slope Definition (Two-Point),斜率定義 (兩點式),"熟練使用兩點 A(x1?,y1?)、B(x2?,y2?) 計算直線斜率 m=x2??x1?y2??y1??。",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生利用兩點坐標 m=x2??x1?y2??y1?? 求斜率。,3,TRUE,210
slope_general_form,Slope from General Form,一般式求斜率,熟練從直線一般式 L:ax+by+c=0 判斷其斜率 m=?ba?。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生直線一般式 ax+by+c=0 的斜率為 m=?ba?。,3,TRUE,220
parallel_lines_slope,Parallel Lines Condition,平行線斜率條件,熟練判斷兩直線 L1?//L2? 的條件為斜率相等 m1?=m2?。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導平行線 L1?//L2? 的條件為斜率相等 m1?=m2?。,3,TRUE,230
perpendicular_lines_slope,Perpendicular Lines Condition,垂直線斜率條件,熟練判斷兩直線 L1?⊥L2? 的條件為斜率乘積為 ?1 (m1?×m2?=?1)(不含鉛直線與水平線之特例)。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導垂直線 L1?⊥L2? 的條件為斜率乘積為 ?1 (m1?×m2?=?1)(不含鉛直線與水平線之特例)。,3,TRUE,240
point_slope_form,Point-Slope Form,點斜式,熟練使用點斜式 y?y1?=m(x?x1?) 寫出直線方程式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生使用點斜式 y?y1?=m(x?x1?) 寫出直線方程式。,3,TRUE,250
horiz_vert_lines,Horizontal & Vertical Lines,水平線與鉛垂線,熟練判斷並寫出水平線 (y=y1?) 與鉛垂線 (x=x1?) 的方程式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導水平線為 y=k (斜率為0)，鉛垂線為 x=h (斜率不存在)。,3,TRUE,260
slope_intercept_form,Slope-Intercept Form,斜截式,熟練使用斜截式 y=mx+b 寫出直線方程式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生使用斜截式 y=mx+b 寫出直線方程式。,3,TRUE,270
intercept_form,Intercept Form,截距式,熟練使用截距式 ax?+by?=1 寫出直線方程式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生使用截距式 ax?+by?=1 寫出直線方程式。,3,TRUE,280
eq_of_parallel_line,Equation of Parallel Line,平行線方程式,熟練求與 L:ax+by+c=0 平行之直線 L1?:ax+by+k1?=0。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導與直線 ax+by+c=0 平行之直線形式為 ax+by+k=0。,3,TRUE,290
eq_of_perpendicular_line,Equation of Perpendicular Line,垂直線方程式,熟練求與 L:ax+by+c=0 垂直之直線 L2?:bx?ay+k2?=0。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導與直線 ax+by+c=0 垂直之直線形式為 bx?ay+k=0。,3,TRUE,300
distance_point_line,Distance from Point to Line,點到直線距離公式,"熟練使用點 P(x0?,y0?) 至直線 L:ax+by+c=0 的距離公式 $d=\frac{",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導點到直線距離公式 $d=\frac{,3,TRUE,310
distance_parallel_lines,Distance between Parallel Lines,兩平行線距離公式,熟練使用兩平行線 L1?:ax+by+c1?=0 與 L2?:ax+by+c2?=0 的距離公式 $d=\frac{,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導兩平行線距離公式 $d=\frac{,3,TRUE,320
polynomial_def,Polynomial Basic Concepts,多項式的基本概念,理解多項式定義、次數、係數、常數項等基本概念。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導多項式中變數的次方須為非負整數。,3,TRUE,330
poly_op_add_sub_mult,"Polynomial Addition, Subtraction, Multiplication",多項式的四則運算 (加減乘),熟練多項式的加、減、乘法運算。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導多項式四則運算時需注意同類項合併和分配律。,3,TRUE,340
synthetic_division,Polynomial Synthetic Division,多項式綜合除法,熟練使用綜合除法進行多項式除以 $x\mp a$ 形式的運算。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導綜合除法步驟，並提醒缺項補零。,3,TRUE,350
division_algorithm,Polynomial Division Algorithm,多項式除法原理,熟練應用除法原理 $f(x)=g(x)q(x)+r(x)$ 於多項式運算。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導除法原理的定義與餘式次數的判斷 $(deg~r(x) < deg~g(x))$。,3,TRUE,360
remainder_theorem,Remainder Theorem,餘式定理,熟練使用餘式定理快速求得多項式 $f(x)$ 除以一次式 $ax+b$ 的餘式 $f(-\frac{b}{a})$。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導餘式定理 $f(x)$ 除以 $ax+b$ 的餘式為 $f(-b/a)$。,3,TRUE,370
factor_theorem,Factor Theorem,因式定理,熟練使用因式定理判斷 $ax-b$ 是否為多項式 $f(x)$ 的因式 (即 $f(\frac{b}{a})=0$ 時)。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導因式定理，當 $f(b/a)=0$ 時， $ax-b$ 為 $f(x)$ 的因式。,3,TRUE,380
factoring_cubes,Factoring (Sum/Difference of Cubes),三次式因式分解 (立方公式),熟練利用立方差 $a^3-b^3=(a-b)(a^2+ab+b^2)$ 與立方和 $a^3+b^3=(a+b)(a^2-ab+b^2)$ 公式進行因式分解。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導三次式立方和/差的分解公式。,3,TRUE,390
rational_expr_def,Rational Expression Definition,分式的基本概念,理解分式的定義 $\frac{f(x)}{g(x)}$，以及分母 $g(x)\ne 0$ 的限制。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導分式定義及分母不為零的限制。,3,TRUE,400
rational_expr_op,Rational Expression Operations,分式的四則運算,熟練分式的加、減（通分）、乘、除（約分）運算。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導分式加減需通分，乘除需化簡約分。,3,TRUE,410
rational_eq_solve,Rational Equation Solving,分式方程式,熟練解分式方程式，並檢查是否產生使分母為零的增根。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒解分式方程式後需驗根，排除增根。,3,TRUE,420
arith_seq_def_common_diff,Arith Seq Def & Common Diff,等差數列定義與公差,判斷數列是否為等差數列，並熟練計算公差 $d$。,handwriting,你是功文數學 AI 批改分析師。請分析學生手寫過程，判斷數列 $\{a_n\}$ 是否為等差，並說明公差 $d$ 是否計算正確。若錯誤，請溫和地提示他們檢查相鄰兩項的差值是否固定。,3,TRUE,3105
arith_seq_nth_term_basic,Arith Seq Nth Term Basic,等差數列一般項基礎,熟練應用 $a_n = a_1 + (n-1)d$ 求解基礎問題。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確套用等差數列公式 $a_n = a_1 + (n-1)d$。若手寫過程中公式應用錯誤，請提醒他們 $n$ 減 1 的重要性。,3,TRUE,3110
arith_seq_nth_term_adv,Arith Seq Nth Term Advanced,等差數列一般項應用,"熟練給定兩項 $a_m, a_n$ 求公差 $d$ 或其他項。",text,你是功文數學 AI 批改分析師。請分析學生是否正確利用 $a_n - a_m = (n-m)d$ 來求公差 $d$，並檢查計算細節。若錯誤，提醒他們利用兩項差值計算公差。,3,TRUE,3115
arith_mean,Arithmetic Mean,等差中項,熟練應用等差中項公式 $b = \frac{a+c}{2}$ 求解。,text,你是功文數學 AI 批改分析師。請檢查學生手寫過程中是否將等差中項公式 $b = (a+c)/2$ 正確列式。若錯誤，強調中項是兩端點的算術平均。,3,TRUE,3120
arith_series_sum_form1,Arith Series Sum (Formula 1),等差級數和 (S1),熟練應用 $S_n = \frac{n(a_1+a_n)}{2}$ 求解。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確使用級數求和公式 $S_n = n(a_1+a_n)/2$，並確認項數 $n$ 的計算是否正確。若錯誤，提醒他們確認首項、末項與項數。,3,TRUE,3125
arith_series_sum_form2,Arith Series Sum (Formula 2),等差級數和 (S2),熟練應用 $S_n = \frac{n(2a_1+(n-1)d)}{2}$ 求解。,text,你是功文數學 AI 批改分析師。請檢查學生是否將 $a_n$ 代換成 $a_1+(n-1)d$ 的過程中代數運算正確。若計算過程出現錯誤，指出錯誤的代數步驟。,3,TRUE,3130
geom_seq_def_common_ratio,Geom Seq Def & Common Ratio,等比數列定義與公比,判斷數列是否為等比數列，並熟練計算公比 $r$。,handwriting,你是功文數學 AI 批改分析師。請分析學生手寫過程，判斷數列是否為等比，並說明公比 $r$ 是否計算正確。若錯誤，請溫和地提示他們檢查相鄰兩項的比值是否固定。,3,TRUE,3135
geom_seq_nth_term,Geometric Sequence Nth Term,等比數列一般項,熟練應用 $a_n = a_1 r^{n-1}$ 求解。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確套用等比數列公式 $a_n = a_1 r^{n-1}$。若指數或乘法運算錯誤，提醒他們冪次的運算規則。,3,TRUE,3140
geom_series_sum,Geometric Series Sum,等比級數求和,熟練應用 $S_n = \frac{a_1(r^n-1)}{r-1}$ 求解。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確使用等比級數求和公式 $S_n = a_1(r^n-1)/(r-1)$。若錯誤，請提醒他們確認公比 $r$ 是否為 1，並檢查分母的計算。,3,TRUE,3145
recur_relation_basic,Sequence Recurrence Relation,數列遞迴關係式基礎,根據遞迴關係式，計算數列的前幾項或一般項。,text,"你是功文數學 AI 批改分析師。請依據給定的遞迴關係式 $a_n=f(a_{n-1},...)$ 檢查學生是否正確進行疊代計算。若錯誤，指出第一個計算錯誤的項。",3,TRUE,3150
linear_eq_solve_basic,Linear Eq Solve Basic,一元一次方程基礎解,熟練運用移項法則解基礎一元一次方程式。,text,你是功文數學 AI 批改分析師。請檢查學生在移項時，是否有正確將加變減、乘變除。若錯誤，提醒他們移項法則的運算細節。,3,TRUE,3205
linear_eq_solve_frac_dec,Linear Eq Solve Fraction/Decimal,一元一次方程分數/小數,熟練解係數為分數或小數的一元一次方程式。,text,你是功文數學 AI 批改分析師。請檢查學生是否嘗試先同乘公倍數或同乘 10 的冪次，以消除分數或小數。若計算錯誤，提醒他們化簡係數的技巧。,3,TRUE,3210
linear_eq_word_problem,Linear Eq Word Problem,一元一次方程應用題,熟練從文字情境中列式並解出一元一次方程。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確將文字情境轉換為數學方程式。若列式錯誤，引導他們重新定義未知數 $x$ 所代表的量。,3,TRUE,3215
linear_ineq_solve_pos,Linear Ineq Solve (Pos Multiplier),一元一次不等式正數運算,解不等式，不涉及同乘/除負數。,text,你是功文數學 AI 批改分析師。請檢查學生在不等式移項和計算中是否有代數錯誤。若錯誤，提醒他們不等式解法與方程式解法的主要區別。,3,TRUE,3220
linear_ineq_solve_neg,Linear Ineq Solve (Neg Multiplier),一元一次不等式負數運算,熟練同乘/除負數時，不等號變向的應用。,text,你是功文數學 AI 批改分析師。請專注檢查學生是否在同乘或同除一個負數時，忘記改變不等號方向。這是此技能最重要的錯誤點。,3,TRUE,3225
linear_ineq_graph_1d,Linear Ineq Graph (1D),一元一次不等式數線圖解,熟練在數線上標示一元一次不等式的解區域。,handwriting,"你是功文數學 AI 批改分析師。請檢查學生是否正確標示不等式的解區域，特別注意使用實心點（$\ge, \le$）或空心點（$>, <$）。",3,TRUE,3230
quad_eq_factor_method,Quadratic Eq Factor Method,一元二次方程因式分解法,熟練使用因式分解 (含十字交乘法) 求解一元二次方程。,text,你是功文數學 AI 批改分析師。請檢查學生是否成功將 $ax^2+bx+c=0$ 進行因式分解。若分解錯誤，提示他們重新檢查十字交乘法的係數組合。,3,TRUE,3235
quad_eq_formula_method,Quadratic Eq Formula Method,一元二次方程公式解,熟練使用公式 $x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}$ 求解。,text,"你是功文數學 AI 批改分析師。請檢查學生在代入公式 $x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}$ 時，係數 $a, b, c$ 是否代入正確，以及判別式 $b^2-4ac$ 的計算是否正確。",3,TRUE,3240
quad_eq_root_relation,Quadratic Eq Root Relation,一元二次方程根與係數,"熟練應用根與係數關係 ($\alpha+\beta, \alpha\beta$) 求解。",text,你是功文數學 AI 批改分析師。請檢查學生是否正確應用 $\alpha+\beta=-b/a$ 和 $\alpha\beta=c/a$ 的關係。若錯誤，提示他們根與係數的關係式。,3,TRUE,3245
sys_linear_eq_solve,Solving 2-Variable Linear Systems,二元聯立方程組解法,熟練使用代入/加減消去法解二元一次聯立方程組。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確使用代入消去法或加減消去法來消除其中一個變數。若消去錯誤，提示他們確認係數是否乘對。,3,TRUE,3305
sys_linear_eq_geometry,System Geometry & Solutions,聯立方程組幾何意義,熟練判斷聯立方程組的解的個數 (唯一解、無解、無限多組解) 與幾何關係。,text,"你是功文數學 AI 批改分析師。請檢查學生是否正確比較係數比 $\frac{a_1}{a_2}, \frac{b_1}{b_2}, \frac{c_1}{c_2}$ 來判斷解的個數。",3,TRUE,3310
linear_ineq_graph_2d,Graphing 2-Variable Linear Inequality,二元一次不等式圖解,熟練繪製二元一次不等式的解區域 (判斷邊界線與半平面)。,handwriting,你是功文數學 AI 批改分析師。請專注分析手寫圖形，檢查 (1) 邊界線（實線或虛線）是否正確；(2) 是否正確選取測試點 (如原點) 來判斷解區域（上半平面或下半平面）。,3,TRUE,3315
linear_programming_const,Formulating LP Constraints,線性規劃限制式列式,熟練從文字敘述中列出線性規劃的限制式與目標函數。,text,"你是功文數學 AI 批改分析師。請檢查學生是否能將文字敘述 (例如：原料限制、人力限制) 正確轉換成二元一次不等式組和目標函數 $f(x,y)$。",3,TRUE,3320
linear_programming_feasible,LP Feasible Region,線性規劃可行解區域,熟練繪製多個限制式下的可行解區域。,handwriting,你是功文數學 AI 批改分析師。請分析手寫圖形，檢查學生是否正確繪製所有限制線，並正確找到所有不等式交集所形成的可行解區域 (圖形)。,3,TRUE,3325
linear_programming_opt,Finding Optimal LP Solution,線性規劃最佳解,熟練利用頂點法求目標函數在可行解區域上的最佳解。,handwriting,"你是功文數學 AI 批改分析師。請檢查學生是否 (1) 正確求出可行解區域的所有頂點坐標；(2) 正確將頂點代入目標函數 $f(x,y)$ 進行比較。若頂點坐標計算錯誤，請提示他們回去檢查聯立方程組的解。",3,TRUE,3330
pos_int_index_rule,Positive Integer Index Rule,正整數指數律,"熟練 $a^m a^n=a^{m+n}$, $(a^m)^n=a^{mn}$ 等正整數指數運算。",text,你是功文數學 AI 批改分析師。請檢查學生是否正確運用指數律 $a^m a^n=a^{m+n}$、$(a^m)^n=a^{mn}$。若錯誤，提醒他們同底數相乘時指數要相加。,3,TRUE,3405
zero_neg_index,Zero & Negative Index,零指數與負整數指數,熟練 $a^0=1$ 和 $a^{-n}=\frac{1}{a^n}$ 的運算與計算。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確處理零指數 ($a^0=1$) 和負指數 ($a^{-n}=1/a^n$) 的轉換。若錯誤，提醒他們負指數代表倒數。,3,TRUE,3410
rational_index_root,Rational Index & Root Conversion,有理數指數與根式互換,熟練 $\sqrt[n]{a} \Leftrightarrow a^{1/n}$ 的互換與計算。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確將根式 $\sqrt[n]{a^m}$ 轉換為有理數指數 $a^{m/n}$。若錯誤，提醒他們「分母是根號的次數，分子是底數的次方」。,3,TRUE,3415
rational_index_calc,Rational Index Calculation,有理數指數運算,綜合應用指數律進行有理數指數的計算。,text,你是功文數學 AI 批改分析師。請檢查學生是否綜合應用各項指數律時出現運算錯誤。若錯誤，指出他們在哪個指數律環節出錯。,3,TRUE,3420
exp_func_graph_basic,Exp Func Graph Basic,指數函數圖形基礎,"認識 $y=a^x$ 的圖形性質 (過(0,1)、漸近線、單調性)。",handwriting,"你是功文數學 AI 批改分析師。請檢查學生繪製的指數函數圖形是否正確：(1) 恆過點 (0, 1)；(2) 漸近線是否為 $x$ 軸；(3) 判斷 $a>1$ 或 $0<a<1$ 的遞增/遞減性質是否正確。",3,TRUE,3425
exp_eq_solve_basic,Exponential Equation Basic,指數方程式基礎解,熟練同底數 $a^x=a^y$ 則 $x=y$ 的解法。,text,你是功文數學 AI 批改分析師。請檢查學生是否嘗試將方程式兩邊化為同底數，以及後續的代數運算是否正確。若化底數錯誤，提示他們如何找到共同底數。,3,TRUE,3430
log_def_convert,Logarithm Definition & Convert,對數定義與轉換,熟練指數與對數的互換 $a^x=b \Leftrightarrow x=\log_a b$，並判斷對數有意義條件。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確進行 $a^x=b$ 與 $x=\log_a b$ 的轉換。若錯誤，提醒他們「底數不會跑」 (對數的底數等於指數的底數)。,3,TRUE,3435
log_basic_prop,Logarithm Basic Properties,對數基本性質,"熟練 $\log_a 1=0, \log_a a=1, a^{\log_a M}=M$ 的計算。",text,你是功文數學 AI 批改分析師。請檢查學生是否正確應用對數的恆等式性質，例如 $\log_a 1=0$ 和 $\log_a a=1$。若錯誤，提示他們應用這些特殊值的性質。,3,TRUE,3440
log_op_prop_sum_diff,Logarithm Sum/Diff Rule,對數運算性質 (和差),熟練 $\log(xy)=\log x + \log y$ 和 $\log(x/y)=\log x - \log y$ 的運算。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確將對數的加減法轉換為真數的乘除法。若錯誤，提醒他們「真數相乘 (除) 等於對數相加 (減)」。,3,TRUE,3445
log_op_prop_power,Logarithm Power Rule,對數運算性質 (冪次),熟練 $\log_a x^n = n \log_a x$ 和換底公式的應用。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確運用真數的冪次可以提到對數前面 ($n\log_a x$)，或正確使用換底公式 $\log_a x = \frac{\log_c x}{\log_c a}$。,3,TRUE,3450
log_func_graph_basic,Log Func Graph Basic,對數函數圖形基礎,"認識 $y=\log_a x$ 的圖形性質 (過(1,0)、漸近線、單調性)。",handwriting,"你是功文數學 AI 批改分析師。請檢查學生繪製的對數函數圖形是否正確：(1) 恆過點 (1, 0)；(2) 漸近線是否為 $y$ 軸；(3) 判斷 $a>1$ 或 $0<a<1$ 的遞增/遞減性質是否正確。",3,TRUE,3455
log_eq_solve_basic,Logarithm Equation Basic,對數方程式基礎解,熟練 $\log_a x = \log_a y$ 則 $x=y$ 的解法，並檢驗真數條件。,text,你是功文數學 AI 批改分析師。請專注檢查學生是否在解出 $x$ 後，有檢驗真數條件 ($M>0$)。若沒有檢驗或真數條件錯誤，提示他們「對數的真數必須嚴格大於零」。,3,TRUE,3460
add_mult_principle,Addition & Multiplication Principle,加法原理與乘法原理,熟練區分並應用加法原理 (分類) 與乘法原理 (分步驟)。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確區分並應用加法原理（用於分類）和乘法原理（用於分步驟）。若錯誤，提醒他們檢查事件是「或」的關係還是「且」的關係。,3,TRUE,4105
factorial_basic,Factorial Basic,階乘與基礎計算 ($n!$),熟練階乘 ($n!$) 的定義與基礎計算。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確計算 $n!$ 及涉及 $0!$ 的計算。若錯誤，提醒 $n!$ 是 $1$ 到 $n$ 的乘積，且 $0!=1$。,3,TRUE,4108
linear_perm_distinct,Linear Permutation ($P_m^n$),相異物直線排列,熟練 $P_m^n$ 公式計算相異物的排列數。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確應用 $P_m^n$ 公式計算部分選取的排列數。若錯誤，提醒他們 $P_m^n = \frac{n!}{(n-m)!}$。,3,TRUE,4110
linear_perm_identical,Linear Permutation (Identical),不盡相異物直線排列,熟練 $\frac{n!}{n_1!n_2!...}$ 公式計算不盡相異物的排列數。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確使用 $\frac{n!}{n_1!n_2!...}$ 公式處理相同物的排列。若錯誤，提醒他們「要除掉相同物的排列數」。,3,TRUE,4115
linear_perm_restricted,Linear Permutation (Restricted),限制條件直線排列,熟練處理「相鄰」、「不相鄰」、「定位」等限制條件的排列問題。,text,你是功文數學 AI 批改分析師。請檢查學生在處理「相鄰」(綁一起)、「不相鄰」(先排空位/反面扣除) 或「定位」等限制條件時的邏輯。,3,TRUE,4120
perm_with_repetition,Permutation with Repetition,重複排列,熟練應用重複排列公式 $n^m$ 求解 (如密碼、顏色塗法)。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確識別問題為「重複排列」並套用 $n^m$ 公式。,3,TRUE,4125
basic_combination,Basic Combination,基礎組合,熟練 $C_m^n$ 公式計算組合數及 $C_m^n = C_{n-m}^n$ 性質。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確使用 $C_m^n$ 計算組合數，並確認其與排列數 $P_m^n$ 的區別（組合不計順序）。,3,TRUE,4130
comb_restricted_select,Comb. (Must/Must Not Select),組合限制條件 (必選/不選),熟練處理「必選」或「不選」的單一條件組合問題。,text,你是功文數學 AI 批改分析師。請檢查學生在處理「必選」或「不選」條件時，是否正確減少總數 $n$ 和選取數 $m$。,3,TRUE,4133
comb_restricted_at_least,Comb. (At Least/At Most),組合限制條件 (至少/至多),熟練處理「至少」或「至多」的反面扣除法組合問題。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確識別並應用「至少/至多」問題的反面扣除法 (總數-不合)。,3,TRUE,4136
pascal_triangle,Pascal's Triangle,巴斯卡三角形,認識巴斯卡三角形及 $C_m^n = C_{m-1}^{n-1} + C_{m}^{n-1}$ 性質。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確理解並應用巴斯卡恆等式。,3,TRUE,4140
binomial_exp_basic,Binomial Expansion,二項式展開式,熟練寫出 $(a+b)^n$ 的二項式展開式。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確寫出二項式展開式的每一項，確保係數是 $C_k^n$ 且指數總和為 $n$。,3,TRUE,4143
binomial_term_coefficient,Binomial Specific Term,二項式特定項係數,熟練應用二項式定理求展開式的特定項係數。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確使用二項式定理的通項公式 $T_{k+1}=C_k^n a^{n-k} b^k$ 來求特定項。,3,TRUE,4145
